"Year","Legislative Branch","Judicial Branch","Department of Agriculture","Department of Commerce","Department of Defense--Military Programs","Department of Education","Department of Energy","Department of Health and Human Services","Department of Homeland Security","Department of Housing and Urban Development","Department of the Interior","Department of Justice","Department of Labor","Department of State","Department of Transportation","Department of the Treasury","Department of Veterans Affairs","Corps of Engineers--Civil Works","Other Defense Civil Programs","Environmental Protection Agency","Executive Office of the President","General Services Administration","International Assistance Programs","National Aeronautics and Space Administration","National Science Foundation","Office of Personnel Management","Small Business Administration","Social Security Administration","Other Independent Agencies","Undistributed Offsetting Receipts","Total"
1962,196,57,6437,215,50111,816,2755,3529,566,826,606,236,3914,457,3854,8474,5608,944,956,70,12,382,3171,1257,183,1017,230,14365,2283,-6707,106821
1963,192,62,7414,354,51147,985,2700,4110,642,-609,730,256,3523,572,4145,9553,5501,1065,1077,87,13,425,3169,2552,206,1175,142,15788,1615,-7274,111316
1964,199,66,7569,702,52585,973,2726,4610,747,73,755,275,3454,455,4736,10289,5662,1091,1287,117,15,520,3226,4171,310,1304,133,16620,1178,-7321,118528
1965,212,75,6940,736,48780,1152,2579,4700,774,492,745,327,3121,552,5201,10791,5710,1171,1465,134,16,612,3248,5092,309,1454,243,17460,1815,-7677,118228
1966,234,80,5633,485,56629,2416,2343,5715,705,2482,866,305,3239,629,5145,11761,5962,1245,1681,158,16,561,3260,5933,368,1726,210,20694,2494,-8443,134532
1967,252,88,5952,477,70069,3596,2253,9639,782,3093,863,336,3562,655,5242,12737,6691,1273,1937,190,19,629,3375,5425,415,1934,151,21725,3683,-9578,157464
1968,269,94,7430,582,80355,4072,2474,13074,973,3727,973,359,4180,645,5555,14290,7018,1252,2206,249,21,482,2814,4722,449,2154,284,23854,4290,-10712,178134
1969,289,110,8446,607,80771,3990,2393,15411,1055,713,1073,423,4161,631,5724,16473,7670,1222,2557,303,24,526,2803,4251,490,2284,110,27299,2918,-11087,183640
1970,353,133,8412,778,80123,4594,2393,17397,1089,2432,1087,537,4976,661,6136,19070,8652,1168,2974,384,29,530,2655,3752,464,2652,253,30270,4263,-12567,195649
1971,395,145,8673,783,77497,5099,2200,20391,1011,2796,1345,801,8456,680,7039,20452,9758,1337,3510,701,38,546,2888,3382,522,3167,333,35873,5223,-14869,210172
1972,499,173,11021,850,77645,5537,2299,25309,1340,3600,1609,1053,10426,747,7244,21539,10713,1490,4002,763,47,655,2980,3423,567,3776,452,40158,5437,-14672,230681
1973,553,188,10167,934,75033,5709,2304,25578,1833,3580,1780,1460,9561,807,7834,30201,11970,1676,4505,1114,50,795,2317,3312,585,4607,1317,49132,5654,-18846,245707
1974,638,207,10302,992,77864,5747,2233,28062,1661,4781,1854,1728,9964,955,7724,35369,13339,1664,5216,2030,67,929,3029,3255,647,5708,753,58123,7849,-23333,269359
1975,739,284,15518,1077,84852,7331,3230,33751,2099,7512,2221,1985,18578,1075,9144,41843,16577,2031,6319,2531,93,341,3665,3269,662,7062,666,69438,9707,-21267,332332
1976,788,325,17682,1484,87917,7897,3841,40261,2455,7026,2433,2140,26524,1393,11709,43407,18416,2112,7358,3118,80,-13,3742,3671,733,8323,624,78960,9575,-22186,371792
1977,990,393,23287,2010,95147,8717,5049,46493,2755,5808,3220,2220,23225,1449,11978,48061,18020,2271,8251,4365,74,70,3616,4002,753,9633,758,90358,9260,-23018,409218
1978,1064,437,30179,4720,102259,9828,6412,51752,3217,7650,3874,2248,23694,1658,12791,54010,18965,2564,9203,4072,75,213,5123,4164,803,10962,2820,99715,8526,-24250,458746
1979,1099,481,31698,3538,113605,12167,7441,57820,3415,9220,4168,2353,23448,1987,14642,63830,19891,2898,10315,4800,81,211,3757,4380,870,12663,1699,109544,9433,-27428,504028
1980,1224,567,34721,3129,130912,14612,7260,68255,4296,12735,4472,2438,30542,2382,18166,75451,21137,3218,11961,5603,96,573,7747,4959,912,15056,2026,124959,13522,-31988,590941
1981,1214,641,41541,2296,153861,16973,11756,80821,3943,14880,4456,2438,30911,2347,20922,91691,22907,3139,13788,5242,96,795,8127,5537,976,18096,2032,146776,11891,-41852,678241
1982,1367,710,45623,2054,180693,14707,11656,88408,3847,15232,3944,2325,31479,2684,17931,109418,23941,2962,14997,5081,95,550,7922,6155,1099,19983,773,163640,8631,-42165,745743
1983,1437,787,52317,1925,204356,14433,10590,95008,4689,15814,4552,2493,38683,2793,18239,115366,24827,2918,16004,4312,94,528,7878,6853,1055,21278,661,180585,8966,-51078,808364
1984,1577,866,41928,1894,220863,15424,10990,102374,5060,16663,4936,2816,25348,2982,20507,139911,25580,3036,16536,4076,96,463,10835,7055,1193,22590,510,188818,9206,-52329,851805
1985,1607,966,55435,2139,245109,16596,10586,114270,5007,28720,4804,3182,24738,3303,22510,163688,26322,2998,15809,4490,111,364,11858,7251,1309,23727,680,200227,7193,-58656,946344
1986,1662,1071,58599,2083,265440,17577,11025,122940,5383,14139,4774,3336,24934,3590,24885,178076,26523,2806,17483,4867,108,713,11040,7403,1536,23955,557,210000,8913,-65036,990382
1987,1810,1180,49507,2127,273919,16670,10692,131410,5383,15484,5037,3807,24208,3572,22851,178684,26932,2757,17962,4904,110,462,10406,7591,1547,26966,-65,218946,11418,-72262,1004017
1988,1848,1342,43930,2278,281889,18145,11165,140035,6180,18938,5138,4656,22662,4217,23698,200406,29253,3028,19039,4871,122,-95,7252,9092,1644,29191,-54,232602,20732,-78789,1064416
1989,2216,1499,48256,2570,294829,21468,11386,152689,5671,19680,5194,5275,25374,4576,23828,227402,30014,3256,20230,4906,124,-444,4291,11036,1736,29073,85,246182,30417,-89074,1143743
1990,2231,1646,45858,3734,289694,22972,12083,175515,7219,20167,5814,5886,26087,4796,25642,253915,28976,3324,21690,5108,158,-170,10085,12429,1821,31949,692,262274,70330,-98930,1252993
1991,2245,1997,53990,2585,261860,25196,12472,198095,6654,22751,6082,7670,34790,5149,27237,274606,31191,3341,23238,5769,193,445,11723,13878,2064,34808,613,285403,78187,-110005,1324226
1992,2629,2308,56320,2566,286574,25832,15515,231550,7577,24470,6531,9208,47889,5927,29098,291005,33872,3565,24746,5950,186,457,11107,13961,2230,35596,546,306361,15064,-117111,1381529
1993,2394,2628,63019,2797,278510,30109,16933,253821,9653,25181,6879,9485,45452,6385,30958,296825,35461,3354,25957,5930,194,721,11524,14305,2429,36794,785,326492,-15880,-119711,1409386
1994,2537,2677,60615,2915,268577,24557,17830,278887,10708,25845,7064,9369,37819,6784,33563,305550,37377,3483,26969,5855,231,332,10497,13694,2605,38596,779,345045,4459,-123469,1461752
1995,2609,2903,56550,3401,259487,31205,17608,303060,9376,29044,7479,10149,32808,6263,35132,346875,37748,3745,27972,6351,215,679,11128,13378,2814,41276,677,361407,-7965,-137632,1515742
1996,2263,3059,54218,3702,253196,29727,16195,319788,9692,25236,6776,11049,33163,5730,35144,362862,36896,3627,28947,6046,202,560,9665,13881,2988,42870,873,374563,2563,-134997,1560484
1997,2348,3259,52393,3782,258262,30009,14458,339514,10533,27527,6763,13076,31088,6029,36072,377491,39253,3598,30279,6164,221,882,10075,14360,3093,45404,333,392681,-2862,-154969,1601116
1998,2572,3459,53800,4036,255793,31294,14414,350341,10617,30181,7222,14045,30580,5396,35554,389005,41724,3775,31204,6269,237,826,8886,14194,3143,46297,-77,407610,11095,-161034,1652458
1999,2592,3789,62690,5020,261196,31285,15879,359429,13321,32693,7783,16181,32995,6554,37672,385045,43125,3934,31987,6733,417,-413,10070,13636,3246,47519,57,419233,7210,-159036,1701842
2000,2871,4057,75071,7788,281028,33476,14971,382311,13159,30781,7998,16846,31873,6687,41555,390524,47044,4229,32801,7223,283,74,12087,13428,3448,48655,-421,441290,10832,-173019,1788950
2001,2959,4381,68071,5003,290185,35523,16319,425885,14980,33865,7743,18443,39707,7487,49231,388268,45012,4640,34131,7367,246,-309,11804,14092,3662,50894,-570,461264,13688,-191125,1862846
2002,3187,4828,68622,5312,331845,46373,17669,465326,17570,31788,9739,21178,64686,9327,56252,371187,50868,4727,35136,7451,451,-684,13289,14405,4155,52540,493,487826,16054,-200706,2010894
2003,3396,5127,72737,5665,388686,57145,19379,504922,31970,37410,9193,20790,69563,9343,50764,368256,56921,4682,39874,8041,386,589,13449,14610,4690,54135,1558,507733,9334,-210449,2159899
2004,3890,5389,71560,5829,437034,62780,19892,542982,26575,44984,8606,29601,56687,10915,54879,375844,59554,4728,41726,8328,3349,-451,13639,15152,5092,56547,4075,530208,5973,-212526,2292841
2005,3984,5547,85308,6147,474354,72858,21271,581390,38697,42453,9292,22361,46949,12748,56596,410240,69815,4719,43481,7913,7686,20,15024,15602,5403,59500,2502,561335,14975,-226213,2471957
2006,4101,5823,93533,6372,499344,93368,19649,614274,69025,42435,9037,23324,43138,12953,60139,464675,69777,6944,44435,8321,5379,24,13917,15125,5510,62400,905,585743,12928,-237548,2655050
2007,4294,6006,84427,6475,528578,66372,20116,671982,39156,45561,10469,23349,47544,13737,61697,490589,72792,3918,47112,8259,2956,27,12752,15861,5488,58431,1175,621763,18006,-260206,2728686
2008,4408,6347,90795,7721,594662,65963,21400,700442,40676,49088,9817,26545,58838,17493,64944,548797,84749,5075,45785,7939,1173,343,11359,17833,5785,64393,528,657799,49638,-277791,2982544
2009,4704,6645,114440,10718,636775,53389,23683,796267,51719,61019,11775,27711,138157,21427,73004,701775,95457,6842,57276,8070,743,319,14797,19168,5958,72302,2246,727549,47935,-274193,3517677
2010,5839,7181,129459,13236,666715,93743,30778,854059,44457,60141,13164,29556,173053,23802,77750,444338,108274,9876,54032,11007,582,861,20041,18906,6719,69915,6128,754178,-2825,-267886,3457079
2011,4582,7293,139397,9930,678074,65484,31371,891247,45741,57004,13519,30519,131975,24354,77302,538707,126918,10138,54775,10772,484,1889,20583,17618,7146,74090,6163,784194,18265,-276478,3603056
2012,4440,7227,139717,10273,650867,57249,32484,848056,47422,49600,12891,31159,104588,26947,75149,464714,124124,7777,77313,12796,405,1753,20009,17190,7255,79457,2936,821144,32691,-230682,3536951
2013,4316,7063,155895,9140,607800,40910,24731,886291,57217,56577,9607,29745,80307,25972,76322,399068,138464,6299,56811,9484,380,-368,19672,16975,7417,83867,477,867391,26267,-249450,3454647
2014,4164,6893,141808,7895,577898,59610,23638,936012,43263,38527,11279,28620,56774,27481,76197,446897,149074,6535,57370,9399,375,-767,18742,17095,7053,87917,194,905771,6558,-246158,3506114
2015,4330,7137,139115,8958,562499,90029,25424,1027507,42573,35527,12340,26906,45217,26498,75425,485623,159216,6685,62966,7007,397,-890,20950,18268,6837,91734,-746,944122,14232,-257594,3688292
