"Legislative Branch","Judicial Branch","Department of Agriculture","Department of Commerce","Department of Defense--Military Programs","Department of Education","Department of Energy","Department of Health and Human Services","Department of Homeland Security","Department of Housing and Urban Development","Department of the Interior","Department of Justice","Department of Labor","Department of State","Department of Transportation","Department of the Treasury","Department of Veterans Affairs","Corps of Engineers--Civil Works","Other Defense Civil Programs","Environmental Protection Agency","Executive Office of the President","General Services Administration","International Assistance Programs","National Aeronautics and Space Administration","National Science Foundation","Office of Personnel Management","Small Business Administration","Social Security Administration","Other Independent Agencies","Undistributed Offsetting Receipts","Total"
0,0,1.1,0,8.5,0.1,0.5,0.6,0.1,0.1,0.1,0,0.7,0.1,0.7,1.4,1,0.2,0.2,0,0,0.1,0.5,0.2,0,0.2,0,2.4,0.4,-1.1,18.2
0,0,1.2,0.1,8.3,0.2,0.4,0.7,0.1,-0.1,0.1,0,0.6,0.1,0.7,1.5,0.9,0.2,0.2,0,0,0.1,0.5,0.4,0,0.2,0,2.5,0.3,-1.2,18
0,0,1.1,0.1,7.9,0.1,0.4,0.7,0.1,0,0.1,0,0.5,0.1,0.7,1.6,0.9,0.2,0.2,0,0,0.1,0.5,0.6,0,0.2,0,2.5,0.2,-1.1,17.9
0,0,1,0.1,6.9,0.2,0.4,0.7,0.1,0.1,0.1,0,0.4,0.1,0.7,1.5,0.8,0.2,0.2,0,0,0.1,0.5,0.7,0,0.2,0,2.5,0.3,-1.1,16.6
0,0,0.7,0.1,7.2,0.3,0.3,0.7,0.1,0.3,0.1,0,0.4,0.1,0.7,1.5,0.8,0.2,0.2,0,0,0.1,0.4,0.8,0,0.2,0,2.6,0.3,-1.1,17.2
0,0,0.7,0.1,8.4,0.4,0.3,1.1,0.1,0.4,0.1,0,0.4,0.1,0.6,1.5,0.8,0.2,0.2,0,0,0.1,0.4,0.6,0,0.2,0,2.6,0.4,-1.1,18.8
0,0,0.8,0.1,8.9,0.5,0.3,1.5,0.1,0.4,0.1,0,0.5,0.1,0.6,1.6,0.8,0.1,0.2,0,0,0.1,0.3,0.5,0,0.2,0,2.7,0.5,-1.2,19.8
0,0,0.9,0.1,8.2,0.4,0.2,1.6,0.1,0.1,0.1,0,0.4,0.1,0.6,1.7,0.8,0.1,0.3,0,0,0.1,0.3,0.4,0,0.2,0,2.8,0.3,-1.1,18.7
0,0,0.8,0.1,7.6,0.4,0.2,1.7,0.1,0.2,0.1,0.1,0.5,0.1,0.6,1.8,0.8,0.1,0.3,0,0,0.1,0.3,0.4,0,0.3,0,2.9,0.4,-1.2,18.6
0,0,0.8,0.1,6.9,0.5,0.2,1.8,0.1,0.2,0.1,0.1,0.8,0.1,0.6,1.8,0.9,0.1,0.3,0.1,0,0,0.3,0.3,0,0.3,0,3.2,0.5,-1.3,18.8
0,0,0.9,0.1,6.4,0.5,0.2,2.1,0.1,0.3,0.1,0.1,0.9,0.1,0.6,1.8,0.9,0.1,0.3,0.1,0,0.1,0.2,0.3,0,0.3,0,3.3,0.4,-1.2,18.9
0,0,0.7,0.1,5.5,0.4,0.2,1.9,0.1,0.3,0.1,0.1,0.7,0.1,0.6,2.2,0.9,0.1,0.3,0.1,0,0.1,0.2,0.2,0,0.3,0.1,3.6,0.4,-1.4,18.1
0,0,0.7,0.1,5.2,0.4,0.2,1.9,0.1,0.3,0.1,0.1,0.7,0.1,0.5,2.4,0.9,0.1,0.4,0.1,0,0.1,0.2,0.2,0,0.4,0.1,3.9,0.5,-1.6,18.1
0,0,1,0.1,5.3,0.5,0.2,2.1,0.1,0.5,0.1,0.1,1.2,0.1,0.6,2.6,1,0.1,0.4,0.2,0,0,0.2,0.2,0,0.4,0,4.3,0.6,-1.3,20.6
0,0,1,0.1,4.9,0.4,0.2,2.2,0.1,0.4,0.1,0.1,1.5,0.1,0.7,2.4,1,0.1,0.4,0.2,0,0,0.2,0.2,0,0.5,0,4.4,0.5,-1.2,20.8
0,0,1.1,0.1,4.7,0.4,0.2,2.3,0.1,0.3,0.2,0.1,1.1,0.1,0.6,2.4,0.9,0.1,0.4,0.2,0,0,0.2,0.2,0,0.5,0,4.5,0.5,-1.1,20.2
0,0,1.3,0.2,4.5,0.4,0.3,2.3,0.1,0.3,0.2,0.1,1,0.1,0.6,2.4,0.8,0.1,0.4,0.2,0,0,0.2,0.2,0,0.5,0.1,4.4,0.4,-1.1,20.1
0,0,1.2,0.1,4.4,0.5,0.3,2.2,0.1,0.4,0.2,0.1,0.9,0.1,0.6,2.5,0.8,0.1,0.4,0.2,0,0,0.1,0.2,0,0.5,0.1,4.3,0.4,-1.1,19.6
0,0,1.2,0.1,4.7,0.5,0.3,2.4,0.2,0.5,0.2,0.1,1.1,0.1,0.6,2.7,0.8,0.1,0.4,0.2,0,0,0.3,0.2,0,0.5,0.1,4.5,0.5,-1.1,21.1
0,0,1.3,0.1,4.9,0.5,0.4,2.6,0.1,0.5,0.1,0.1,1,0.1,0.7,2.9,0.7,0.1,0.4,0.2,0,0,0.3,0.2,0,0.6,0.1,4.7,0.4,-1.3,21.6
0,0,1.4,0.1,5.5,0.4,0.4,2.7,0.1,0.5,0.1,0.1,0.9,0.1,0.5,3.3,0.7,0.1,0.5,0.2,0,0,0.2,0.2,0,0.6,0,4.9,0.3,-1.3,22.5
0,0,1.5,0.1,5.8,0.4,0.3,2.7,0.1,0.4,0.1,0.1,1.1,0.1,0.5,3.3,0.7,0.1,0.5,0.1,0,0,0.2,0.2,0,0.6,0,5.1,0.3,-1.4,22.8
0,0,1.1,0,5.6,0.4,0.3,2.6,0.1,0.4,0.1,0.1,0.6,0.1,0.5,3.5,0.6,0.1,0.4,0.1,0,0,0.3,0.2,0,0.6,0,4.8,0.2,-1.3,21.5
0,0,1.3,0.1,5.7,0.4,0.2,2.7,0.1,0.7,0.1,0.1,0.6,0.1,0.5,3.8,0.6,0.1,0.4,0.1,0,0,0.3,0.2,0,0.6,0,4.7,0.2,-1.4,22.2
0,0,1.3,0,5.9,0.4,0.2,2.7,0.1,0.3,0.1,0.1,0.5,0.1,0.5,3.9,0.6,0.1,0.4,0.1,0,0,0.2,0.2,0,0.5,0,4.6,0.2,-1.4,21.8
0,0,1,0,5.7,0.3,0.2,2.7,0.1,0.3,0.1,0.1,0.5,0.1,0.5,3.7,0.6,0.1,0.4,0.1,0,0,0.2,0.2,0,0.6,0,4.6,0.2,-1.5,21
0,0,0.9,0,5.5,0.4,0.2,2.7,0.1,0.4,0.1,0.1,0.4,0.1,0.5,3.9,0.6,0.1,0.4,0.1,0,0,0.1,0.2,0,0.6,0,4.5,0.4,-1.5,20.6
0,0,0.9,0,5.3,0.4,0.2,2.7,0.1,0.4,0.1,0.1,0.5,0.1,0.4,4.1,0.5,0.1,0.4,0.1,0,0,0.1,0.2,0,0.5,0,4.4,0.5,-1.6,20.5
0,0,0.8,0.1,4.9,0.4,0.2,3,0.1,0.3,0.1,0.1,0.4,0.1,0.4,4.3,0.5,0.1,0.4,0.1,0,0,0.2,0.2,0,0.5,0,4.4,1.2,-1.7,21.2
0,0,0.9,0,4.3,0.4,0.2,3.2,0.1,0.4,0.1,0.1,0.6,0.1,0.4,4.5,0.5,0.1,0.4,0.1,0,0,0.2,0.2,0,0.6,0,4.7,1.3,-1.8,21.7
0,0,0.9,0,4.5,0.4,0.2,3.6,0.1,0.4,0.1,0.1,0.7,0.1,0.5,4.5,0.5,0.1,0.4,0.1,0,0,0.2,0.2,0,0.6,0,4.8,0.2,-1.8,21.5
0,0,0.9,0,4.1,0.4,0.2,3.7,0.1,0.4,0.1,0.1,0.7,0.1,0.5,4.4,0.5,0,0.4,0.1,0,0,0.2,0.2,0,0.5,0,4.8,-0.2,-1.8,20.7
0,0,0.8,0,3.7,0.3,0.2,3.9,0.1,0.4,0.1,0.1,0.5,0.1,0.5,4.2,0.5,0,0.4,0.1,0,0,0.1,0.2,0,0.5,0,4.8,0.1,-1.7,20.3
0,0,0.7,0,3.4,0.4,0.2,4,0.1,0.4,0.1,0.1,0.4,0.1,0.5,4.6,0.5,0,0.4,0.1,0,0,0.1,0.2,0,0.5,0,4.8,-0.1,-1.8,20
0,0,0.7,0,3.2,0.4,0.2,4,0.1,0.3,0.1,0.1,0.4,0.1,0.4,4.5,0.5,0,0.4,0.1,0,0,0.1,0.2,0,0.5,0,4.7,0,-1.7,19.6
0,0,0.6,0,3,0.4,0.2,4,0.1,0.3,0.1,0.2,0.4,0.1,0.4,4.4,0.5,0,0.4,0.1,0,0,0.1,0.2,0,0.5,0,4.6,0,-1.8,18.9
0,0,0.6,0,2.9,0.3,0.2,3.9,0.1,0.3,0.1,0.2,0.3,0.1,0.4,4.3,0.5,0,0.3,0.1,0,0,0.1,0.2,0,0.5,0,4.6,0.1,-1.8,18.5
0,0,0.7,0.1,2.7,0.3,0.2,3.8,0.1,0.3,0.1,0.2,0.3,0.1,0.4,4,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.4,0.1,-1.7,17.9
0,0,0.7,0.1,2.8,0.3,0.1,3.8,0.1,0.3,0.1,0.2,0.3,0.1,0.4,3.8,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.3,0.1,-1.7,17.6
0,0,0.6,0,2.7,0.3,0.2,4,0.1,0.3,0.1,0.2,0.4,0.1,0.5,3.7,0.4,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.4,0.1,-1.8,17.6
0,0,0.6,0,3.1,0.4,0.2,4.3,0.2,0.3,0.1,0.2,0.6,0.1,0.5,3.4,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.5,0.1,-1.8,18.5
0,0,0.6,0,3.4,0.5,0.2,4.5,0.3,0.3,0.1,0.2,0.6,0.1,0.4,3.2,0.5,0,0.4,0.1,0,0,0.1,0.1,0,0.5,0,4.5,0.1,-1.9,19.1
0,0,0.6,0,3.6,0.5,0.2,4.5,0.2,0.4,0.1,0.2,0.5,0.1,0.5,3.1,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.4,0,-1.8,19
0,0,0.7,0,3.7,0.6,0.2,4.5,0.3,0.3,0.1,0.2,0.4,0.1,0.4,3.2,0.5,0,0.3,0.1,0.1,0,0.1,0.1,0,0.5,0,4.4,0.1,-1.8,19.2
0,0,0.7,0,3.6,0.7,0.1,4.5,0.5,0.3,0.1,0.2,0.3,0.1,0.4,3.4,0.5,0.1,0.3,0.1,0,0,0.1,0.1,0,0.5,0,4.3,0.1,-1.7,19.4
0,0,0.6,0,3.7,0.5,0.1,4.7,0.3,0.3,0.1,0.2,0.3,0.1,0.4,3.4,0.5,0,0.3,0.1,0,0,0.1,0.1,0,0.4,0,4.3,0.1,-1.8,19.1
0,0,0.6,0.1,4,0.4,0.1,4.7,0.3,0.3,0.1,0.2,0.4,0.1,0.4,3.7,0.6,0,0.3,0.1,0,0,0.1,0.1,0,0.4,0,4.5,0.3,-1.9,20.2
0,0,0.8,0.1,4.4,0.4,0.2,5.5,0.4,0.4,0.1,0.2,1,0.1,0.5,4.9,0.7,0,0.4,0.1,0,0,0.1,0.1,0,0.5,0,5,0.3,-1.9,24.4
0,0,0.9,0.1,4.5,0.6,0.2,5.8,0.3,0.4,0.1,0.2,1.2,0.2,0.5,3,0.7,0.1,0.4,0.1,0,0,0.1,0.1,0,0.5,0,5.1,0,-1.8,23.4
0,0,0.9,0.1,4.4,0.4,0.2,5.8,0.3,0.4,0.1,0.2,0.9,0.2,0.5,3.5,0.8,0.1,0.4,0.1,0,0,0.1,0.1,0,0.5,0,5.1,0.1,-1.8,23.4
0,0,0.9,0.1,4.1,0.4,0.2,5.3,0.3,0.3,0.1,0.2,0.7,0.2,0.5,2.9,0.8,0,0.5,0.1,0,0,0.1,0.1,0,0.5,0,5.1,0.2,-1.4,22.1
0,0,0.9,0.1,3.7,0.2,0.1,5.4,0.3,0.3,0.1,0.2,0.5,0.2,0.5,2.4,0.8,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,5.3,0.2,-1.5,20.9
0,0,0.8,0,3.4,0.3,0.1,5.4,0.3,0.2,0.1,0.2,0.3,0.2,0.4,2.6,0.9,0,0.3,0.1,0,0,0.1,0.1,0,0.5,0,5.3,0,-1.4,20.4
0,0,0.8,0.1,3.2,0.5,0.1,5.8,0.2,0.2,0.1,0.2,0.3,0.1,0.4,2.7,0.9,0,0.4,0,0,0,0.1,0.1,0,0.5,0,5.3,0.1,-1.4,20.7
